Max_Interval: 12
White_to_White
1 1    1  999  999  999  999  999  999  999  999  999  999  999  999
1 2  999    1    1    1    1    1    1    1    2    2    2    2    3
1 3  999    1    1    1    1    1    1    1    1    1    2    2    3
1 4  999    2    2    1    1    1    1    1    1    1    1    1    2
1 5  999    3    3    2    2    1    1    1    1    1    1    1    1
2 1  999    2    2    3    3    4    4    4    4    4    4    4    4
2 2    1  999  999  999  999  999  999  999  999  999  999  999  999
2 3  999    1    1    1    1    2    2    3    3    3    3    3    3
2 4  999    2    2    1    1    1    1    2    3    3    3    3    3
2 5  999    3    3    2    2    1    1    1    1    1    2    2    2
3 1  999    2    2    3    3    4    4    4    4    4    4    4    4
3 3    1  999  999  999  999  999  999  999  999  999  999  999  999
3 4  999    1    1    2    2    3    3    3    3    3    3    3    3
3 5  999    3    3    1    1    1    1    3    3    3    3    3    3
4 1  999    2    2    4    4    4    4    4    4    4    4    4    4
4 4    1  999  999  999  999  999  999  999  999  999  999  999  999
4 5  999    1    1    1    1    3    3    3    3    3    3    3    3
5 1  999    4    4    4    4    4    4    4    4    4    4    4    4
5 5    1  999  999  999  999  999  999  999  999  999  999  999  999
White_to_Black
1 2  999  1  1  1  1  1  1  1  1  2  2  3  999
1 3  999  1  1  1  1  1  1  1  1  1  1  2  999
1 4  999  2  2  2  1  1  1  1  1  1  1  1  999
1 5  999  3  3  3  2  2  2  1  1  1  1  1  999
2 1  999  4  4  4  4  4  4  4  4  4  4  4  999
2 3  999  1  1  1  2  2  3  3  3  3  3  3  999
2 4  999  2  1  1  1  1  2  2  2  3  3  3  999
2 5  999  3  2  2  2  2  1  1  1  2  2  3  999
3 1  999  4  4  4  4  4  4  4  4  4  4  4  999
3 4  999  1  1  1  3  3  3  3  3  3  3  3  999
3 5  999  3  2  2  2  2  2  3  3  3  3  3  999
4 1  999  4  4  4  4  4  4  4  4  4  4  4  999
4 5  999  2  2  2  2  3  3  3  3  3  3  3  999
5 1  999  4  4  4  4  4  4  4  4  4  4  4  999
Black_to_White
1 2  999  3  2  2  1  1  2  2  2  3  3  3  999
1 3  999  3  2  2  1  1  1  2  2  2  2  3  999
1 4  999  3  3  3  1  1  1  1  1  2  2  2  999
1 5  999  3  3  3  2  2  2  1  1  1  1  1  999
2 1  999  2  3  3  4  4  4  4  4  4  4  4  999
2 3  999  1  1  1  2  2  3  3  3  3  3  3  999
2 4  999  2  1  1  1  1  2  3  3  3  3  3  999
2 5  999  3  2  2  1  1  1  1  1  1  1  2  999
3 1  999  2  3  3  4  4  4  4  4  4  4  4  999
3 4  999  1  1  1  3  3  3  3  3  3  3  3  999
3 5  999  2  1  1  1  1  1  2  2  3  3  3  999
4 1  999  3  4  4  4  4  4  4  4  4  4  4  999
4 5  999  1  1  1  2  2  3  3  3  3  3  3  999
5 1  999  3  4  4  4  4  4  4  4  4  4  4  999
Black_to_Black
1 1    1  999 999 999 999 999 999 999 999 999 999 999 999
1 2  999  999   2   2   2   2 999   3   3   3   3 999   3
1 3  999  999   2   2   2   2 999   2   2   2   2 999   2
1 4  999  999   3   2   2   2 999   2   1   1   1 999   2
1 5  999  999   3   3   3   3 999   2   1   1   1 999   1
2 1  999  999   2   3   3   4 999   4   4   4   4 999   4
2 2    1  999 999 999 999 999 999 999 999 999 999 999 999
2 3  999  999   1   1   1   2 999   3   3   3   3 999   3
2 4  999  999   2   1   1   1 999   2   3   3   3 999   3
2 5  999  999   3   2   2   1 999   1   1   1   2 999   2
3 1  999  999   3   4   4   4 999   4   4   4   4 999   4
3 3    1  999 999 999 999 999 999 999 999 999 999 999 999
3 4  999  999   1   1   1   2 999   3   3   3   3 999   3
3 5  999  999   3   1   1   2 999   3   3   3   3 999   3
4 1  999  999   4   4   4   4 999   4   4   4   4 999   4
4 4    1  999 999 999 999 999 999 999 999 999 999 999 999
4 5  999  999   2   2   2   3 999   3   3   3   3 999   3
5 1  999  999   4   4   4   4 999   4   4   4   4 999   4
5 5    1  999 999 999 999 999 999 999 999 999 999 999 999
